timestamp_sample,x_position,y_position,pupil_area_normalized,angular_resolution_x_pixels_per_degree,angular_resolution_y_pixels_per_degree,window_width,window_level,xmin_shown_from_image,ymin_shown_from_image,xmax_shown_from_image,ymax_shown_from_image,xmin_in_screen_coordinates,ymin_in_screen_coordinates,xmax_in_screen_coordinates,ymax_in_screen_coordinates
13.183,979,648,0.693,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.184,978,648,0.693,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.185,978,647,0.693,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.186,977,647,0.692,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.187,977,647,0.693,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.188,977,647,0.693,84,86,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.189,977,647,0.693,84,86,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.19,978,646,0.694,84,86,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.191,979,646,0.694,84,86,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.192,980,647,0.695,84,86,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.193,980,647,0.697,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.194,981,648,0.697,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.195,981,649,0.697,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.196,982,649,0.698,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.197,981,649,0.698,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.198,981,649,0.698,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.199,980,649,0.697,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.2,980,649,0.695,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.201,980,649,0.694,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.202,979,649,0.693,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.203,978,649,0.692,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.204,978,649,0.692,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.205,977,649,0.691,84,85,0.87622,0.44641,103,273,2544,2434,660,0,3100,2160
13.206,977,648,0.692,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.207,977,648,0.692,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.208,976,647,0.692,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.209,975,647,0.692,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.21,975,646,0.692,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.211,974,646,0.692,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.212,973,646,0.692,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.213,973,647,0.691,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.214,972,647,0.691,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.215,972,648,0.69,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.216,972,648,0.69,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.217,972,649,0.69,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.218,972,649,0.688,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.219,972,649,0.688,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.22,972,649,0.688,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.221,972,648,0.688,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.222,973,647,0.688,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.223,973,647,0.688,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.224,974,646,0.688,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.225,974,646,0.688,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.226,974,645,0.688,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.227,974,645,0.688,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.228,974,645,0.688,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.229,974,645,0.688,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.23,974,646,0.688,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.231,974,646,0.688,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
